Wavelength (nm)	Reflectance
765	0.2616681
766	0.2582029
767	0.2546862
768	0.2511182
769	0.2475017
770	0.2438393
771	0.2401003
772	0.23632
773	0.2325025
774	0.2286508
775	0.2247668
776	0.2208433
777	0.2168955
778	0.2129271
779	0.2089416
780	0.2049456
781	0.2009494
782	0.1969469
783	0.192942
784	0.1889385
785	0.1849393
786	0.1809474
787	0.1769689
788	0.173008
789	0.1690687
790	0.1651571
791	0.1612797
792	0.1574362
793	0.1536311
794	0.1498685
795	0.1461505
796	0.1424775
797	0.1388598
798	0.1353014
799	0.1318065
800	0.1283781
801	0.1250134
802	0.1217244
803	0.1185149
804	0.1153886
805	0.1123492
806	0.109419
807	0.1065835
808	0.1038449
809	0.1012065
810	0.0986713
811	0.0962618
812	0.0939647
813	0.0917775
814	0.0897027
815	0.0877425
816	0.0858943
817	0.0841555
818	0.082537
819	0.0810404
820	0.079667
821	0.0784147
822	0.0772825
823	0.0762772
824	0.0753996
825	0.0746502
826	0.0740289
827	0.0735379
828	0.073177
829	0.0729434
830	0.0728363
831	0.0728506
832	0.0729881
833	0.0732475
834	0.0736274
835	0.0741263
836	0.0747424
837	0.0754738
838	0.0763185
839	0.0772744
840	0.0783392
841	0.079521
842	0.080808
843	0.0821974
844	0.0836865
845	0.0852723
846	0.086952
847	0.0887226
848	0.0905809
849	0.0925238
850	0.0945482
851	0.0966508
852	0.0988283
853	0.1010774
854	0.1033951
855	0.1057778
856	0.1082223
857	0.1107252
858	0.1132834
859	0.1158935
860	0.1185522
861	0.1212375
862	0.1239646
863	0.1267305
864	0.129532
865	0.1323662
866	0.1352301
867	0.1381208
868	0.1410354
869	0.143971
870	0.1469252
871	0.1499153
872	0.1529187
873	0.1559327
874	0.1589549
875	0.1619827
876	0.1650138
877	0.1680458
878	0.1710767
879	0.1741041
880	0.177126
881	0.1801202
882	0.1831052
883	0.186079
884	0.1890399
885	0.191986
886	0.1949247
887	0.1978589
888	0.200774
889	0.2036685
890	0.206541
891	0.2093902
892	0.2122149
893	0.2150139
894	0.2177859
895	0.22053
896	0.223245
897	0.22593
898	0.2285841
899	0.2312064
900	0.2337959
901	0.2363691
902	0.2389076
903	0.2414109
904	0.2438781
905	0.2463088
906	0.2487024
907	0.2510582
908	0.2533759
909	0.2556549
910	0.2578949
911	0.2600809
912	0.2622276
913	0.2643347
914	0.2664019
915	0.2684289
916	0.2704153
917	0.2723612
918	0.2742663
919	0.2761304
920	0.2779534
921	0.279747
922	0.2814987
923	0.2832084
924	0.2848761
925	0.2865017
926	0.2880852
927	0.2896266
928	0.2911259
929	0.2925831
930	0.2939981
931	0.2953621
932	0.2966845
933	0.2979656
934	0.2992054
935	0.3004041
936	0.3015616
937	0.3026781
938	0.3037538
939	0.3047886
940	0.3057829
941	0.3067366
942	0.30765
943	0.3085232
944	0.3093564
945	0.3101496
946	0.3109032
947	0.3116171
948	0.3122918
949	0.3129272
950	0.3135236
951	0.3140851
952	0.3146074
953	0.3150908
954	0.3155389
955	0.315956
956	0.3163348
957	0.3166756
958	0.3169784
959	0.3172435
960	0.3174712
961	0.3176602
962	0.3178125
963	0.3179286
964	0.3180085
965	0.3180525
966	0.3180608
967	0.3180336
968	0.3179712
969	0.3178737
970	0.3177414
971	0.3175746
972	0.3173734
973	0.3171381
974	0.3168688
975	0.316566
976	0.3162296
977	0.3158601
978	0.3154576
979	0.3150224
980	0.3145547
981	0.3140516
982	0.313516
983	0.3129483
984	0.3123486
985	0.3117172
986	0.3110544
987	0.3103603
988	0.3096353
989	0.3088796
990	0.3080934
