wl,n,k,Calculated from the cauchy_equation workbook
0.761,1.425219115,0,
0.762,1.425200306,0,
0.763,1.42518157,0,
0.764,1.425162908,0,
0.765,1.425144318,0,
0.766,1.425125802,0,
0.767,1.425107357,0,
0.768,1.425088985,0,
0.769,1.425070684,0,
0.77,1.425052454,0,
0.771,1.425034294,0,
0.772,1.425016206,0,
0.773,1.424998187,0,
0.774,1.424980238,0,
0.775,1.424962358,0,
0.776,1.424944547,0,
0.777,1.424926804,0,
0.778,1.42490913,0,
0.779,1.424891524,0,
0.78,1.424873985,0,
0.781,1.424856514,0,
0.782,1.424839109,0,
0.783,1.424821771,0,
0.784,1.424804499,0,
0.785,1.424787293,0,
0.786,1.424770152,0,
0.787,1.424753077,0,
0.788,1.424736066,0,
0.789,1.42471912,0,
0.79,1.424702238,0,
0.791,1.42468542,0,
0.792,1.424668666,0,
0.793,1.424651974,0,
0.794,1.424635346,0,
0.795,1.42461878,0,
0.796,1.424602277,0,
0.797,1.424585835,0,
0.798,1.424569455,0,
0.799,1.424553137,0,
